"peak_chrom","peak_start","peak_end","alu_chrom","alu_start","alu_end","subfamily","distance","set","dose","alu_key","has_motif"
"chr11",101299201,101299930,"chr11",101302394,101302690,"AluY",2465,"SetB","1nM","chr11:101302394-101302690",FALSE
"chr11",101436522,101436865,"chr11",101431407,101431723,"AluY",4800,"SetB","1nM","chr11:101431407-101431723",FALSE
"chr11",101438150,101438501,"chr11",101431407,101431723,"AluY",6428,"SetB","1nM","chr11:101431407-101431723",FALSE
"chr11",101441745,101442110,"chr11",101431407,101431723,"AluY",10023,"SetB","1nM","chr11:101431407-101431723",FALSE
"chr11",101443725,101444034,"chr11",101431407,101431723,"AluY",12003,"SetB","1nM","chr11:101431407-101431723",FALSE
"chr11",117185207,117185483,"chr11",117185037,117185347,"AluY",0,"SetB","1nM","chr11:117185037-117185347",FALSE
"chr11",129694447,129694864,"chr11",129693756,129694065,"AluY",383,"SetB","1nM","chr11:129693756-129694065",FALSE
"chr11",131897296,131897613,"chr11",131896679,131896987,"AluY",310,"SetB","1nM","chr11:131896679-131896987",FALSE
"chr11",131900351,131900557,"chr11",131896679,131896987,"AluY",3365,"SetB","1nM","chr11:131896679-131896987",FALSE
"chr12",105476,105744,"chr12",107397,107709,"AluY",1654,"SetB","1nM","chr12:107397-107709",FALSE
"chr12",5635026,5635509,"chr12",5638227,5638534,"AluY",2719,"SetB","1nM","chr12:5638227-5638534",FALSE
"chr12",6088928,6089163,"chr12",6088196,6088492,"AluY",437,"SetB","1nM","chr12:6088196-6088492",FALSE
"chr12",6363934,6364229,"chr12",6364473,6364776,"AluY",245,"SetB","1nM","chr12:6364473-6364776",FALSE
"chr12",23235431,23235726,"chr12",23231999,23232294,"AluY",3138,"SetB","1nM","chr12:23231999-23232294",FALSE
"chr12",64625396,64625630,"chr12",64624671,64624966,"AluY",431,"SetB","1nM","chr12:64624671-64624966",FALSE
"chr12",100952375,100953005,"chr12",100947901,100948178,"AluY",4198,"SetB","1nM","chr12:100947901-100948178",FALSE
"chr12",119172576,119172767,"chr12",119170694,119170994,"AluY",1583,"SetB","1nM","chr12:119170694-119170994",FALSE
"chr13",32068287,32068550,"chr13",32068908,32069214,"AluY",359,"SetB","1nM","chr13:32068908-32069214",FALSE
"chr13",46143276,46143473,"chr13",46143787,46144100,"AluY",315,"SetB","1nM","chr13:46143787-46144100",FALSE
"chr14",69357656,69357865,"chr14",69356554,69356855,"AluY",802,"SetB","1nM","chr14:69356554-69356855",FALSE
"chr14",91418090,91418527,"chr14",91419944,91420221,"AluY",1418,"SetB","1nM","chr14:91419944-91420221",FALSE
"chr14",99964915,99965427,"chr14",99963956,99964276,"AluY",640,"SetB","1nM","chr14:99963956-99964276",FALSE
"chr14",105032266,105032689,"chr14",105031965,105032272,"AluY",0,"SetB","1nM","chr14:105031965-105032272",FALSE
"chr15",78135398,78135728,"chr15",78135684,78135952,"AluY",0,"SetB","1nM","chr15:78135684-78135952",FALSE
"chr15",80696852,80697065,"chr15",80698061,80698363,"AluY",997,"SetB","1nM","chr15:80698061-80698363",FALSE
"chr15",82952160,82952440,"chr15",82953591,82953896,"AluY",1152,"SetB","1nM","chr15:82953591-82953896",FALSE
"chr15",95895598,95895882,"chr15",95896419,95896724,"AluY",538,"SetB","1nM","chr15:95896419-95896724",FALSE
"chr16",2719224,2719587,"chr16",2718313,2718616,"AluY",609,"SetB","1nM","chr16:2718313-2718616",FALSE
"chr16",3166458,3166987,"chr16",3167517,3167828,"AluY",531,"SetB","1nM","chr16:3167517-3167828",FALSE
"chr16",11130495,11130811,"chr16",11129762,11130061,"AluY",435,"SetB","1nM","chr16:11129762-11130061",FALSE
"chr16",35524037,35524312,"chr16",35524686,35524995,"AluY",375,"SetB","1nM","chr16:35524686-35524995",FALSE
"chr17",39812561,39812767,"chr17",39812816,39813104,"AluY",50,"SetB","1nM","chr17:39812816-39813104",FALSE
"chr17",40549318,40549503,"chr17",40545001,40545309,"AluY",4010,"SetB","1nM","chr17:40545001-40545309",FALSE
"chr17",41525685,41525896,"chr17",41525959,41526273,"AluY",64,"SetB","1nM","chr17:41525959-41526273",FALSE
"chr17",57085616,57085975,"chr17",57083944,57084247,"AluY",1370,"SetB","1nM","chr17:57083944-57084247",FALSE
"chr17",57375777,57376147,"chr17",57376922,57377219,"AluY",776,"SetB","1nM","chr17:57376922-57377219",TRUE
"chr17",72617950,72618320,"chr17",72618975,72619278,"AluY",656,"SetB","1nM","chr17:72618975-72619278",FALSE
"chr17",82103721,82104213,"chr17",82104530,82104837,"AluY",318,"SetB","1nM","chr17:82104530-82104837",FALSE
"chr17",82234908,82235141,"chr17",82233834,82234139,"AluY",770,"SetB","1nM","chr17:82233834-82234139",FALSE
"chr17",83180995,83181254,"chr17",83170304,83170603,"AluY",10393,"SetB","1nM","chr17:83170304-83170603",FALSE
"chr17",83189778,83190013,"chr17",83170304,83170603,"AluY",19176,"SetB","1nM","chr17:83170304-83170603",FALSE
"chr18",13223584,13223918,"chr18",13224467,13224779,"AluY",550,"SetB","1nM","chr18:13224467-13224779",FALSE
"chr18",48548298,48548538,"chr18",48551792,48552101,"AluY",3255,"SetB","1nM","chr18:48551792-48552101",FALSE
"chr18",77054766,77055062,"chr18",77057824,77058117,"AluY",2763,"SetB","1nM","chr18:77057824-77058117",FALSE
"chr18",77055201,77055384,"chr18",77057824,77058117,"AluY",2441,"SetB","1nM","chr18:77057824-77058117",FALSE
"chr19",1181567,1182180,"chr19",1181113,1181394,"AluY",174,"SetB","1nM","chr19:1181113-1181394",FALSE
"chr19",4538432,4538642,"chr19",4537557,4537866,"AluY",567,"SetB","1nM","chr19:4537557-4537866",FALSE
"chr19",15562947,15563190,"chr19",15562555,15562838,"AluY",110,"SetB","1nM","chr19:15562555-15562838",FALSE
"chr19",16463965,16464260,"chr19",16464805,16465094,"AluY",546,"SetB","1nM","chr19:16464805-16465094",FALSE
"chr19",57798716,57798925,"chr19",57798889,57799185,"AluY",0,"SetB","1nM","chr19:57798889-57799185",FALSE
"chr2",10021792,10022053,"chr2",10021265,10021553,"AluY",240,"SetB","1nM","chr2:10021265-10021553",FALSE
"chr2",24084247,24084447,"chr2",24085953,24086252,"AluY",1507,"SetB","1nM","chr2:24085953-24086252",FALSE
"chr2",42342517,42342835,"chr2",42344570,42344863,"AluY",1736,"SetB","1nM","chr2:42344570-42344863",FALSE
"chr2",45820751,45820940,"chr2",45817411,45817710,"AluY",3042,"SetB","1nM","chr2:45817411-45817710",FALSE
"chr2",73431890,73432076,"chr2",73430077,73430375,"AluY",1516,"SetB","1nM","chr2:73430077-73430375",FALSE
"chr2",104481651,104481931,"chr2",104483716,104484021,"AluY",1786,"SetB","1nM","chr2:104483716-104484021",FALSE
"chr2",138435697,138436056,"chr2",138437008,138437309,"AluY",953,"SetB","1nM","chr2:138437008-138437309",FALSE
"chr2",217092634,217092917,"chr2",217088713,217089019,"AluY",3616,"SetB","1nM","chr2:217088713-217089019",FALSE
"chr2",224331697,224332176,"chr2",224332017,224332330,"AluY",0,"SetB","1nM","chr2:224332017-224332330",FALSE
"chr2",237235428,237235874,"chr2",237237582,237237894,"AluY",1709,"SetB","1nM","chr2:237237582-237237894",FALSE
"chr20",34350262,34350493,"chr20",34350510,34350818,"AluY",18,"SetB","1nM","chr20:34350510-34350818",FALSE
"chr20",50284759,50285111,"chr20",50287209,50287511,"AluY",2099,"SetB","1nM","chr20:50287209-50287511",FALSE
"chr21",15005339,15005700,"chr21",15011198,15011486,"AluY",5499,"SetB","1nM","chr21:15011198-15011486",FALSE
"chr21",15199964,15200319,"chr21",15202156,15202452,"AluY",1838,"SetB","1nM","chr21:15202156-15202452",FALSE
"chr21",15200685,15200868,"chr21",15202156,15202452,"AluY",1289,"SetB","1nM","chr21:15202156-15202452",FALSE
"chr21",17746091,17746344,"chr21",17745476,17745782,"AluY",310,"SetB","1nM","chr21:17745476-17745782",FALSE
"chr21",31529422,31529737,"chr21",31528920,31529218,"AluY",205,"SetB","1nM","chr21:31528920-31529218",FALSE
"chr21",36193347,36193568,"chr21",36192685,36192987,"AluY",361,"SetB","1nM","chr21:36192685-36192987",FALSE
"chr21",39524015,39524275,"chr21",39524885,39525183,"AluY",611,"SetB","1nM","chr21:39524885-39525183",FALSE
"chr21",44764770,44765065,"chr21",44769378,44769677,"AluY",4314,"SetB","1nM","chr21:44769378-44769677",FALSE
"chr22",24531998,24532512,"chr22",24531758,24532071,"AluY",0,"SetB","1nM","chr22:24531758-24532071",FALSE
"chr22",25400872,25401119,"chr22",25400262,25400562,"AluY",311,"SetB","1nM","chr22:25400262-25400562",FALSE
"chr22",27345411,27345672,"chr22",27346324,27346620,"AluY",653,"SetB","1nM","chr22:27346324-27346620",FALSE
"chr22",46465782,46466078,"chr22",46467541,46467840,"AluY",1464,"SetB","1nM","chr22:46467541-46467840",FALSE
"chr3",4581691,4581997,"chr3",4579929,4580226,"AluY",1466,"SetB","1nM","chr3:4579929-4580226",FALSE
"chr3",31948039,31948286,"chr3",31949386,31949697,"AluY",1101,"SetB","1nM","chr3:31949386-31949697",FALSE
"chr3",32110329,32110595,"chr3",32109905,32110217,"AluY",113,"SetB","1nM","chr3:32109905-32110217",FALSE
"chr3",57041517,57041772,"chr3",57042701,57042996,"AluY",930,"SetB","1nM","chr3:57042701-57042996",FALSE
"chr3",61708084,61708503,"chr3",61708443,61708755,"AluY",0,"SetB","1nM","chr3:61708443-61708755",FALSE
"chr3",64501537,64501720,"chr3",64500456,64500756,"AluY",782,"SetB","1nM","chr3:64500456-64500756",FALSE
"chr3",66416046,66416333,"chr3",66414115,66414423,"AluY",1624,"SetB","1nM","chr3:66414115-66414423",FALSE
"chr3",100104145,100104459,"chr3",100094674,100094987,"AluY",9159,"SetB","1nM","chr3:100094674-100094987",FALSE
"chr3",123626981,123627239,"chr3",123625526,123625825,"AluY",1157,"SetB","1nM","chr3:123625526-123625825",FALSE
"chr3",123627749,123627995,"chr3",123625526,123625825,"AluY",1925,"SetB","1nM","chr3:123625526-123625825",FALSE
"chr3",126211784,126212066,"chr3",126206852,126207108,"AluY",4677,"SetB","1nM","chr3:126206852-126207108",FALSE
"chr3",146160538,146160734,"chr3",146163148,146163459,"AluY",2415,"SetB","1nM","chr3:146163148-146163459",FALSE
"chr3",151085276,151085493,"chr3",151084126,151084464,"AluY",813,"SetB","1nM","chr3:151084126-151084464",FALSE
"chr3",189772973,189773239,"chr3",189773915,189774221,"AluY",677,"SetB","1nM","chr3:189773915-189774221",FALSE
"chr4",997821,998095,"chr4",998963,999231,"AluY",869,"SetB","1nM","chr4:998963-999231",FALSE
"chr4",3461014,3461905,"chr4",3456213,3456523,"AluY",4492,"SetB","1nM","chr4:3456213-3456523",FALSE
"chr4",3463213,3463669,"chr4",3456213,3456523,"AluY",6691,"SetB","1nM","chr4:3456213-3456523",FALSE
"chr4",3827547,3827850,"chr4",3823166,3823473,"AluY",4075,"SetB","1nM","chr4:3823166-3823473",FALSE
"chr4",10656137,10656707,"chr4",10655637,10655948,"AluY",190,"SetB","1nM","chr4:10655637-10655948",FALSE
"chr4",48853045,48853398,"chr4",48852865,48853178,"AluY",0,"SetB","1nM","chr4:48852865-48853178",FALSE
"chr4",76569231,76569552,"chr4",76567369,76567656,"AluY",1576,"SetB","1nM","chr4:76567369-76567656",FALSE
"chr4",139875440,139875756,"chr4",139874800,139875101,"AluY",340,"SetB","1nM","chr4:139874800-139875101",FALSE
"chr4",168677203,168677398,"chr4",168676588,168676878,"AluY",326,"SetB","1nM","chr4:168676588-168676878",FALSE
"chr5",301715,302917,"chr5",299551,299847,"AluY",1869,"SetB","1nM","chr5:299551-299847",FALSE
"chr5",19734775,19735344,"chr5",19735396,19735694,"AluY",53,"SetB","1nM","chr5:19735396-19735694",FALSE
"chr5",44539631,44539814,"chr5",44538022,44538316,"AluY",1316,"SetB","1nM","chr5:44538022-44538316",FALSE
"chr5",56429106,56429515,"chr5",56431441,56431748,"AluY",1927,"SetB","1nM","chr5:56431441-56431748",FALSE
"chr5",58127100,58127312,"chr5",58128829,58129167,"AluY",1518,"SetB","1nM","chr5:58128829-58129167",FALSE
"chr5",119564777,119565052,"chr5",119568244,119568551,"AluY",3193,"SetB","1nM","chr5:119568244-119568551",FALSE
"chr5",160287584,160287896,"chr5",160288589,160288855,"AluY",694,"SetB","1nM","chr5:160288589-160288855",FALSE
"chr6",681081,681354,"chr6",682195,682499,"AluY",842,"SetB","1nM","chr6:682195-682499",FALSE
"chr6",11067339,11067782,"chr6",11069433,11069743,"AluY",1652,"SetB","1nM","chr6:11069433-11069743",FALSE
"chr6",31810377,31810836,"chr6",31809270,31809556,"AluY",822,"SetB","1nM","chr6:31809270-31809556",FALSE
"chr6",37102369,37102589,"chr6",37101567,37101876,"AluY",494,"SetB","1nM","chr6:37101567-37101876",FALSE
"chr6",42122775,42123010,"chr6",42123099,42123411,"AluY",90,"SetB","1nM","chr6:42123099-42123411",FALSE
"chr6",74969338,74970276,"chr6",74977934,74978230,"AluY",7659,"SetB","1nM","chr6:74977934-74978230",FALSE
"chr6",74971646,74971933,"chr6",74977934,74978230,"AluY",6002,"SetB","1nM","chr6:74977934-74978230",FALSE
"chr6",139588097,139588731,"chr6",139587262,139587574,"AluY",524,"SetB","1nM","chr6:139587262-139587574",FALSE
"chr6",149717603,149717787,"chr6",149718962,149719268,"AluY",1176,"SetB","1nM","chr6:149718962-149719268",FALSE
"chr7",33832862,33833247,"chr7",33833365,33833681,"AluY",119,"SetB","1nM","chr7:33833365-33833681",FALSE
"chr7",35025269,35025581,"chr7",35023823,35024135,"AluY",1135,"SetB","1nM","chr7:35023823-35024135",FALSE
"chr7",47406042,47406277,"chr7",47404604,47404913,"AluY",1130,"SetB","1nM","chr7:47404604-47404913",FALSE
"chr7",47477458,47477813,"chr7",47483171,47483468,"AluY",5359,"SetB","1nM","chr7:47483171-47483468",FALSE
"chr7",140992560,140992889,"chr7",140993293,140993595,"AluY",405,"SetB","1nM","chr7:140993293-140993595",FALSE
"chr7",142356036,142356556,"chr7",142357248,142357538,"AluY",693,"SetB","1nM","chr7:142357248-142357538",FALSE
"chr7",151856578,151856902,"chr7",151853488,151853778,"AluY",2801,"SetB","1nM","chr7:151853488-151853778",FALSE
"chr8",17923157,17923400,"chr8",17925554,17925849,"AluY",2155,"SetB","1nM","chr8:17925554-17925849",FALSE
"chr8",115998234,115998543,"chr8",115994034,115994347,"AluY",3888,"SetB","1nM","chr8:115994034-115994347",FALSE
"chr8",118620211,118620398,"chr8",118619242,118619497,"AluY",715,"SetB","1nM","chr8:118619242-118619497",FALSE
"chr8",127866306,127866495,"chr8",127864547,127864847,"AluY",1460,"SetB","1nM","chr8:127864547-127864847",FALSE
"chr8",127953090,127953445,"chr8",127952770,127953063,"AluY",28,"SetB","1nM","chr8:127952770-127953063",FALSE
"chr9",129488645,129488998,"chr9",129489329,129489625,"AluY",332,"SetB","1nM","chr9:129489329-129489625",FALSE
"chr9",134702518,134702804,"chr9",134703627,134703938,"AluY",824,"SetB","1nM","chr9:134703627-134703938",FALSE
"chrX",6461394,6461605,"chrX",6459036,6459328,"AluY",2067,"SetB","1nM","chrX:6459036-6459328",FALSE
"chrX",7218482,7218760,"chrX",7220543,7220847,"AluY",1784,"SetB","1nM","chrX:7220543-7220847",FALSE
"chrX",7219116,7219430,"chrX",7220543,7220847,"AluY",1114,"SetB","1nM","chrX:7220543-7220847",FALSE
"chrX",39895233,39895420,"chrX",39896598,39896925,"AluY",1179,"SetB","1nM","chrX:39896598-39896925",FALSE
"chrX",54696247,54696634,"chrX",54702557,54702849,"AluY",5924,"SetB","1nM","chrX:54702557-54702849",FALSE
"chrX",54747689,54748044,"chrX",54743835,54744135,"AluY",3555,"SetB","1nM","chrX:54743835-54744135",FALSE
"chr1",1678459,1678642,"chr1",1677467,1677750,"AluY",710,"SetA","10nM","chr1:1677467-1677750",FALSE
"chr1",2001770,2002033,"chr1",2001317,2001625,"AluY",146,"SetA","10nM","chr1:2001317-2001625",FALSE
"chr1",3337407,3337605,"chr1",3343621,3343940,"AluY",6017,"SetA","10nM","chr1:3343621-3343940",FALSE
"chr1",3338300,3338619,"chr1",3343621,3343940,"AluY",5003,"SetA","10nM","chr1:3343621-3343940",FALSE
"chr1",14926044,14926381,"chr1",14928168,14928472,"AluY",1788,"SetA","10nM","chr1:14928168-14928472",FALSE
"chr1",25568216,25568465,"chr1",25570577,25570878,"AluY",2113,"SetA","10nM","chr1:25570577-25570878",FALSE
"chr1",35505975,35506405,"chr1",35504193,35504495,"AluY",1481,"SetA","10nM","chr1:35504193-35504495",FALSE
"chr1",36204095,36204494,"chr1",36204933,36205230,"AluY",440,"SetA","10nM","chr1:36204933-36205230",FALSE
"chr1",39142806,39143203,"chr1",39143762,39144080,"AluY",560,"SetA","10nM","chr1:39143762-39144080",FALSE
"chr1",41372178,41372419,"chr1",41369961,41370259,"AluY",1920,"SetA","10nM","chr1:41369961-41370259",FALSE
"chr1",42992357,42992799,"chr1",42992969,42993270,"AluY",171,"SetA","10nM","chr1:42992969-42993270",FALSE
"chr1",42993605,42993890,"chr1",42992969,42993270,"AluY",336,"SetA","10nM","chr1:42992969-42993270",FALSE
"chr1",51558697,51558916,"chr1",51558014,51558295,"AluY",403,"SetA","10nM","chr1:51558014-51558295",FALSE
"chr1",71461514,71461773,"chr1",71457693,71458001,"AluY",3514,"SetA","10nM","chr1:71457693-71458001",FALSE
"chr1",79361179,79361610,"chr1",79360644,79360958,"AluY",222,"SetA","10nM","chr1:79360644-79360958",FALSE
"chr1",113147997,113148208,"chr1",113148445,113148751,"AluY",238,"SetA","10nM","chr1:113148445-113148751",FALSE
"chr1",116858905,116859287,"chr1",116859463,116859763,"AluY",177,"SetA","10nM","chr1:116859463-116859763",FALSE
"chr1",147669258,147670078,"chr1",147671121,147671433,"AluY",1044,"SetA","10nM","chr1:147671121-147671433",FALSE
"chr1",171257427,171257815,"chr1",171255991,171256294,"AluY",1134,"SetA","10nM","chr1:171255991-171256294",FALSE
"chr1",177145227,177145476,"chr1",177144253,177144550,"AluY",678,"SetA","10nM","chr1:177144253-177144550",FALSE
"chr1",177448666,177449138,"chr1",177449964,177450277,"AluY",827,"SetA","10nM","chr1:177449964-177450277",FALSE
"chr1",177451131,177451320,"chr1",177449964,177450277,"AluY",855,"SetA","10nM","chr1:177449964-177450277",FALSE
"chr1",177620691,177621005,"chr1",177625199,177625505,"AluY",4195,"SetA","10nM","chr1:177625199-177625505",FALSE
"chr1",179883085,179883300,"chr1",179880833,179881142,"AluY",1944,"SetA","10nM","chr1:179880833-179881142",FALSE
"chr1",203059346,203059709,"chr1",203062195,203062506,"AluY",2487,"SetA","10nM","chr1:203062195-203062506",FALSE
"chr1",205506102,205506374,"chr1",205507349,205507663,"AluY",976,"SetA","10nM","chr1:205507349-205507663",FALSE
"chr1",206688870,206689223,"chr1",206688627,206688933,"AluY",0,"SetA","10nM","chr1:206688627-206688933",FALSE
"chr1",206847532,206847962,"chr1",206848499,206848813,"AluY",538,"SetA","10nM","chr1:206848499-206848813",FALSE
"chr1",209218971,209219187,"chr1",209205716,209206029,"AluY",12943,"SetA","10nM","chr1:209205716-209206029",FALSE
"chr1",209220010,209220314,"chr1",209205716,209206029,"AluY",13982,"SetA","10nM","chr1:209205716-209206029",FALSE
"chr1",224204941,224205189,"chr1",224205127,224205432,"AluY",0,"SetA","10nM","chr1:224205127-224205432",FALSE
"chr1",233636061,233636360,"chr1",233636914,233637217,"AluY",555,"SetA","10nM","chr1:233636914-233637217",FALSE
"chr1",244050175,244050438,"chr1",244032212,244032495,"AluY",17681,"SetA","10nM","chr1:244032212-244032495",FALSE
"chr1",246219225,246219816,"chr1",246218341,246218634,"AluY",592,"SetA","10nM","chr1:246218341-246218634",FALSE
"chr10",6154733,6155078,"chr10",6155197,6155503,"AluY",120,"SetA","10nM","chr10:6155197-6155503",FALSE
"chr10",28900425,28900611,"chr10",28899647,28899940,"AluY",486,"SetA","10nM","chr10:28899647-28899940",FALSE
"chr10",29124781,29125368,"chr10",29125288,29125586,"AluY",0,"SetA","10nM","chr10:29125288-29125586",FALSE
"chr10",29622460,29622774,"chr10",29621968,29622278,"AluY",183,"SetA","10nM","chr10:29621968-29622278",FALSE
"chr10",43038024,43038315,"chr10",43031637,43031950,"AluY",6075,"SetA","10nM","chr10:43031637-43031950",FALSE
"chr10",61272791,61273094,"chr10",61274831,61275143,"AluY",1738,"SetA","10nM","chr10:61274831-61275143",FALSE
"chr10",61668350,61668578,"chr10",61665605,61665902,"AluY",2449,"SetA","10nM","chr10:61665605-61665902",FALSE
"chr10",63716033,63716216,"chr10",63715337,63715644,"AluY",390,"SetA","10nM","chr10:63715337-63715644",FALSE
"chr10",72272605,72272944,"chr10",72271776,72272086,"AluY",520,"SetA","10nM","chr10:72271776-72272086",FALSE
"chr10",72331653,72331863,"chr10",72330681,72330978,"AluY",676,"SetA","10nM","chr10:72330681-72330978",FALSE
"chr10",88385575,88385958,"chr10",88380395,88380683,"AluY",4893,"SetA","10nM","chr10:88380395-88380683",FALSE
"chr10",98363130,98363421,"chr10",98362679,98362985,"AluY",146,"SetA","10nM","chr10:98362679-98362985",FALSE
"chr10",98363806,98364118,"chr10",98362679,98362985,"AluY",822,"SetA","10nM","chr10:98362679-98362985",FALSE
"chr10",98366245,98366453,"chr10",98362679,98362985,"AluY",3261,"SetA","10nM","chr10:98362679-98362985",FALSE
"chr10",102207136,102207581,"chr10",102206907,102207206,"AluY",0,"SetA","10nM","chr10:102206907-102207206",FALSE
"chr10",102710574,102711074,"chr10",102711469,102711782,"AluY",396,"SetA","10nM","chr10:102711469-102711782",FALSE
"chr10",104480846,104481205,"chr10",104478926,104479226,"AluY",1621,"SetA","10nM","chr10:104478926-104479226",FALSE
"chr10",110002673,110002958,"chr10",110002281,110002572,"AluY",102,"SetA","10nM","chr10:110002281-110002572",FALSE
"chr10",110844144,110844367,"chr10",110844957,110845223,"AluY",591,"SetA","10nM","chr10:110844957-110845223",FALSE
"chr10",113678523,113679163,"chr10",113677808,113678119,"AluY",405,"SetA","10nM","chr10:113677808-113678119",FALSE
"chr10",114337060,114337338,"chr10",114335330,114335628,"AluY",1433,"SetA","10nM","chr10:114335330-114335628",FALSE
"chr10",117005786,117005990,"chr10",117006284,117006586,"AluY",295,"SetA","10nM","chr10:117006284-117006586",FALSE
"chr10",121553803,121554097,"chr10",121554333,121554669,"AluY",237,"SetA","10nM","chr10:121554333-121554669",FALSE
"chr10",126175867,126176273,"chr10",126174757,126175055,"AluY",813,"SetA","10nM","chr10:126174757-126175055",FALSE
"chr10",128540885,128541590,"chr10",128534032,128534328,"AluY",6558,"SetA","10nM","chr10:128534032-128534328",FALSE
"chr11",539961,540192,"chr11",539384,539695,"AluY",267,"SetA","10nM","chr11:539384-539695",FALSE
"chr11",2165266,2165574,"chr11",2174987,2175292,"AluY",9414,"SetA","10nM","chr11:2174987-2175292",FALSE
"chr11",2169022,2169794,"chr11",2174987,2175292,"AluY",5194,"SetA","10nM","chr11:2174987-2175292",FALSE
"chr11",2210963,2211229,"chr11",2211984,2212281,"AluY",756,"SetA","10nM","chr11:2211984-2212281",FALSE
"chr11",30527550,30527903,"chr11",30526890,30527229,"AluY",322,"SetA","10nM","chr11:30526890-30527229",FALSE
"chr11",44300815,44301385,"chr11",44299354,44299654,"AluY",1162,"SetA","10nM","chr11:44299354-44299654",FALSE
"chr11",44950718,44950901,"chr11",44953409,44953718,"AluY",2509,"SetA","10nM","chr11:44953409-44953718",FALSE
"chr11",60757183,60757555,"chr11",60755234,60755532,"AluY",1652,"SetA","10nM","chr11:60755234-60755532",FALSE
"chr11",60757667,60757858,"chr11",60755234,60755532,"AluY",2136,"SetA","10nM","chr11:60755234-60755532",FALSE
"chr11",64506798,64507086,"chr11",64508480,64508798,"AluY",1395,"SetA","10nM","chr11:64508480-64508798",FALSE
"chr11",69653985,69654210,"chr11",69660430,69660726,"AluY",6221,"SetA","10nM","chr11:69660430-69660726",FALSE
"chr11",69654433,69654743,"chr11",69660430,69660726,"AluY",5688,"SetA","10nM","chr11:69660430-69660726",FALSE
"chr11",69654994,69655184,"chr11",69660430,69660726,"AluY",5247,"SetA","10nM","chr11:69660430-69660726",FALSE
"chr11",75036016,75036367,"chr11",75036975,75037269,"AluY",609,"SetA","10nM","chr11:75036975-75037269",FALSE
"chr11",75343044,75343227,"chr11",75343812,75344108,"AluY",586,"SetA","10nM","chr11:75343812-75344108",FALSE
"chr11",78268205,78268590,"chr11",78267576,78267881,"AluY",325,"SetA","10nM","chr11:78267576-78267881",FALSE
"chr11",79059719,79060614,"chr11",79058261,79058565,"AluY",1155,"SetA","10nM","chr11:79058261-79058565",FALSE
"chr11",83362053,83362369,"chr11",83361478,83361799,"AluY",255,"SetA","10nM","chr11:83361478-83361799",FALSE
"chr11",84687494,84687809,"chr11",84685712,84685986,"AluY",1509,"SetA","10nM","chr11:84685712-84685986",FALSE
"chr11",84688517,84688791,"chr11",84685712,84685986,"AluY",2532,"SetA","10nM","chr11:84685712-84685986",FALSE
"chr11",86795481,86796206,"chr11",86796359,86796663,"AluY",154,"SetA","10nM","chr11:86796359-86796663",FALSE
"chr11",94544147,94544425,"chr11",94542625,94542926,"AluY",1222,"SetA","10nM","chr11:94542625-94542926",FALSE
"chr11",94832695,94832981,"chr11",94834305,94834602,"AluY",1325,"SetA","10nM","chr11:94834305-94834602",FALSE
"chr11",101299182,101299998,"chr11",101302394,101302690,"AluY",2397,"SetA","10nM","chr11:101302394-101302690",FALSE
"chr11",101300451,101300851,"chr11",101302394,101302690,"AluY",1544,"SetA","10nM","chr11:101302394-101302690",FALSE
"chr11",101436487,101436932,"chr11",101431407,101431723,"AluY",4765,"SetA","10nM","chr11:101431407-101431723",FALSE
"chr11",101438099,101438532,"chr11",101431407,101431723,"AluY",6377,"SetA","10nM","chr11:101431407-101431723",FALSE
"chr11",101440146,101440331,"chr11",101431407,101431723,"AluY",8424,"SetA","10nM","chr11:101431407-101431723",FALSE
"chr11",101441695,101442130,"chr11",101431407,101431723,"AluY",9973,"SetA","10nM","chr11:101431407-101431723",FALSE
"chr11",101443714,101444070,"chr11",101431407,101431723,"AluY",11992,"SetA","10nM","chr11:101431407-101431723",FALSE
"chr11",117185184,117185501,"chr11",117185037,117185347,"AluY",0,"SetA","10nM","chr11:117185037-117185347",FALSE
"chr11",121953103,121953456,"chr11",121956096,121956402,"AluY",2641,"SetA","10nM","chr11:121956096-121956402",FALSE
"chr11",129641647,129641859,"chr11",129642652,129642912,"AluY",794,"SetA","10nM","chr11:129642652-129642912",FALSE
"chr11",129642264,129642575,"chr11",129642652,129642912,"AluY",78,"SetA","10nM","chr11:129642652-129642912",FALSE
"chr11",129643186,129643448,"chr11",129642652,129642912,"AluY",275,"SetA","10nM","chr11:129642652-129642912",FALSE
"chr11",129694367,129694906,"chr11",129693756,129694065,"AluY",303,"SetA","10nM","chr11:129693756-129694065",FALSE
"chr11",131897278,131897666,"chr11",131896679,131896987,"AluY",292,"SetA","10nM","chr11:131896679-131896987",FALSE
"chr11",131897952,131898242,"chr11",131896679,131896987,"AluY",966,"SetA","10nM","chr11:131896679-131896987",FALSE
"chr11",131900301,131900585,"chr11",131896679,131896987,"AluY",3315,"SetA","10nM","chr11:131896679-131896987",FALSE
"chr12",105459,105799,"chr12",107397,107709,"AluY",1599,"SetA","10nM","chr12:107397-107709",FALSE
"chr12",5634989,5635518,"chr12",5638227,5638534,"AluY",2710,"SetA","10nM","chr12:5638227-5638534",FALSE
"chr12",6088850,6089210,"chr12",6088196,6088492,"AluY",359,"SetA","10nM","chr12:6088196-6088492",FALSE
